node,entrez,gene_name,initial,ppion
0.0,381,ARF5,TRUE,TRUE
1.0,805,CALM2,TRUE,TRUE
2.0,23229,ARHGEF9,TRUE,TRUE
3.0,2081,ERN1,TRUE,TRUE
4.0,1029,CDKN2A,TRUE,TRUE
5.0,5034,P4HB,TRUE,TRUE
6.0,8677,STX10,TRUE,TRUE
7.0,59345,GNB4,TRUE,TRUE
8.0,3800,KIF5C,TRUE,TRUE
9.0,2618,GART,TRUE,TRUE
10.0,22908,SACM1L,TRUE,TRUE
11.0,27352,SGSM3,TRUE,TRUE
12.0,92344,GORAB,TRUE,TRUE
13.0,27031,NPHP3,TRUE,TRUE
14.0,1612,DAPK1,TRUE,TRUE
15.0,9263,STK17A,TRUE,TRUE
16.0,6712,SPTBN2,TRUE,TRUE
17.0,23303,KIF13B,TRUE,TRUE
18.0,11069,RAPGEF4,TRUE,TRUE
19.0,65975,STK33,TRUE,TRUE
20.0,7041,TGFB1I1,TRUE,TRUE
21.0,9771,RAPGEF5,TRUE,TRUE
22.0,162,AP1B1,TRUE,TRUE
23.0,11234,HPS5,TRUE,TRUE
24.0,27237,ARHGEF16,TRUE,TRUE
25.0,197135,PATL2,TRUE,TRUE
26.0,93664,CADPS2,TRUE,TRUE
27.0,10746,MAP3K2,TRUE,TRUE
28.0,79861,TUBAL3,TRUE,TRUE
29.0,2774,GNAL,TRUE,TRUE
30.0,998,CDC42,TRUE,TRUE
31.0,6098,ROS1,TRUE,TRUE
32.0,54737,MPHOSPH8,TRUE,TRUE
33.0,23163,GGA3,TRUE,TRUE
34.0,4593,MUSK,TRUE,TRUE
35.0,57568,SIPA1L2,TRUE,TRUE
36.0,79735,TBC1D17,TRUE,TRUE
37.0,163,AP2B1,TRUE,TRUE
38.0,55605,KIF21A,TRUE,TRUE
39.0,28996,HIPK2,TRUE,TRUE
40.0,203286,ANKS6,TRUE,TRUE
41.0,11329,STK38,TRUE,TRUE
42.0,26984,SEC22A,TRUE,TRUE
43.0,140462,ASB9,TRUE,TRUE
44.0,56929,FEM1C,TRUE,TRUE
45.0,146691,TOM1L2,TRUE,TRUE
46.0,54434,SSH1,TRUE,TRUE
47.0,2180,ACSL1,TRUE,TRUE
48.0,5531,PPP4C,TRUE,TRUE
49.0,347733,TUBB2B,TRUE,TRUE
50.0,51014,TMED7,TRUE,TRUE
51.0,25972,UNC50,TRUE,TRUE
52.0,51209,RAB9B,TRUE,TRUE
53.0,83988,NCALD,TRUE,TRUE
54.0,56950,SMYD2,TRUE,TRUE
55.0,421,ARVCF,TRUE,TRUE
56.0,9926,LPGAT1,TRUE,TRUE
57.0,738,VPS51,TRUE,TRUE
58.0,23362,PSD3,TRUE,TRUE
59.0,6300,MAPK12,TRUE,TRUE
60.0,50650,ARHGEF3,TRUE,TRUE
61.0,10890,RAB10,TRUE,TRUE
62.0,5754,PTK7,TRUE,TRUE
63.0,5520,PPP2R2A,TRUE,TRUE
64.0,11020,IFT27,TRUE,TRUE
65.0,6885,MAP3K7,TRUE,TRUE
66.0,65082,VPS33A,TRUE,TRUE
67.0,26030,PLEKHG3,TRUE,TRUE
68.0,5521,PPP2R2B,TRUE,TRUE
69.0,8572,PDLIM4,TRUE,TRUE
70.0,7535,ZAP70,TRUE,TRUE
71.0,2241,FER,TRUE,TRUE
72.0,5229,PGGT1B,TRUE,TRUE
73.0,55768,NGLY1,TRUE,TRUE
74.0,55738,ARFGAP1,TRUE,TRUE
75.0,23179,RGL1,TRUE,TRUE
76.0,1795,DOCK3,TRUE,TRUE
77.0,51715,RAB23,TRUE,TRUE
78.0,121512,FGD4,TRUE,TRUE
79.0,81704,DOCK8,TRUE,TRUE
80.0,3087,HHEX,TRUE,TRUE
81.0,287,ANK2,TRUE,TRUE
82.0,7171,TPM4,TRUE,TRUE
83.0,5499,PPP1CA,TRUE,TRUE
84.0,6714,SRC,TRUE,TRUE
85.0,7984,ARHGEF5,TRUE,TRUE
86.0,5580,PRKCD,TRUE,TRUE
87.0,11221,DUSP10,TRUE,TRUE
88.0,10765,KDM5B,TRUE,TRUE
89.0,5475,PPEF1,TRUE,TRUE
90.0,5663,PSEN1,TRUE,TRUE
91.0,1501,CTNND2,TRUE,TRUE
92.0,8676,STX11,TRUE,TRUE
93.0,55527,FEM1A,TRUE,TRUE
94.0,3831,KLC1,TRUE,TRUE
95.0,389,RHOC,TRUE,TRUE
96.0,9641,IKBKE,TRUE,TRUE
97.0,8735,MYH13,TRUE,TRUE
98.0,107282092,BOLA2-SMG1P6,TRUE,TRUE
99.0,142679,DUSP19,TRUE,TRUE
100.0,1030,CDKN2B,TRUE,TRUE
101.0,51226,COPZ2,TRUE,TRUE
102.0,23061,TBC1D9B,TRUE,TRUE
103.0,4430,MYO1B,TRUE,TRUE
104.0,84250,SLF1,TRUE,TRUE
105.0,129138,ANKRD54,TRUE,TRUE
106.0,729092,AGAP5,TRUE,TRUE
107.0,2982,GUCY1A1,TRUE,TRUE
108.0,56992,KIF15,TRUE,TRUE
109.0,140459,ASB6,TRUE,TRUE
110.0,63971,KIF13A,TRUE,TRUE
111.0,149986,LSM14B,TRUE,TRUE
112.0,84516,DCTN5,TRUE,TRUE
113.0,84643,KIF2B,TRUE,TRUE
114.0,3241,HPCAL1,TRUE,TRUE
115.0,85004,RERG,TRUE,TRUE
116.0,79947,DHDDS,TRUE,TRUE
117.0,55614,KIF16B,TRUE,TRUE
118.0,339122,RAB43,TRUE,TRUE
119.0,5170,PDPK1,TRUE,TRUE
120.0,3834,KIF25,TRUE,TRUE
121.0,64375,IKZF4,TRUE,TRUE
122.0,8411,EEA1,TRUE,TRUE
123.0,11014,KDELR2,TRUE,TRUE
124.0,51676,ASB2,TRUE,TRUE
125.0,84988,PPP1R16A,TRUE,TRUE
126.0,119016,AGAP4,TRUE,TRUE
127.0,392,ARHGAP1,TRUE,TRUE
128.0,23120,ATP10B,TRUE,TRUE
129.0,124923,RSKR,TRUE,TRUE
130.0,9094,UNC119,TRUE,TRUE
131.0,91074,ANKRD30A,TRUE,TRUE
132.0,4619,MYH1,TRUE,TRUE
133.0,167359,NIM1K,TRUE,TRUE
134.0,64689,GORASP1,TRUE,TRUE
135.0,81876,RAB1B,TRUE,TRUE
136.0,164633,CABP7,TRUE,TRUE
137.0,85443,DCLK3,TRUE,TRUE
138.0,54455,FBXO42,TRUE,TRUE
139.0,23413,NCS1,TRUE,TRUE
140.0,79966,SCD5,TRUE,TRUE
141.0,7248,TSC1,TRUE,TRUE
142.0,445582,POTEE,TRUE,TRUE
143.0,6804,STX1A,TRUE,TRUE
144.0,282974,STK32C,TRUE,TRUE
145.0,57534,MIB1,TRUE,TRUE
146.0,10451,VAV3,TRUE,TRUE
147.0,128344,CIMAP3,TRUE,TRUE
148.0,1742,DLG4,TRUE,TRUE
149.0,5613,PRKX,TRUE,TRUE
150.0,1072,CFL1,TRUE,TRUE
151.0,225689,MAPK15,TRUE,TRUE
152.0,1495,CTNNA1,TRUE,TRUE
153.0,120892,LRRK2,TRUE,TRUE
154.0,552900,BOLA2,TRUE,TRUE
155.0,54935,DUSP23,TRUE,TRUE
156.0,27044,SND1,TRUE,TRUE
157.0,91404,SESTD1,TRUE,TRUE
158.0,57572,DOCK6,TRUE,TRUE
159.0,10290,SPEG,TRUE,TRUE
160.0,8675,STX16,TRUE,TRUE
161.0,126549,ANKLE1,TRUE,TRUE
162.0,5710,PSMD4,TRUE,TRUE
163.0,5201,PFDN1,TRUE,TRUE
164.0,130162,CLHC1,TRUE,TRUE
165.0,2776,GNAQ,TRUE,TRUE
166.0,10972,TMED10,TRUE,TRUE
167.0,171024,SYNPO2,TRUE,TRUE
168.0,6517,SLC2A4,TRUE,TRUE
169.0,1956,EGFR,TRUE,TRUE
170.0,2783,GNB2,TRUE,TRUE
171.0,4646,MYO6,TRUE,TRUE
172.0,57139,RGL3,TRUE,TRUE
173.0,5604,MAP2K1,TRUE,TRUE
174.0,147463,ANKRD29,TRUE,TRUE
175.0,2932,GSK3B,TRUE,TRUE
176.0,122011,CSNK1A1L,TRUE,TRUE
177.0,9371,KIF3B,TRUE,TRUE
178.0,57617,VPS18,TRUE,TRUE
179.0,9397,NMT2,TRUE,TRUE
180.0,5863,RGL2,TRUE,TRUE
181.0,4293,MAP3K9,TRUE,TRUE
182.0,3000,GUCY2D,TRUE,TRUE
183.0,6002,RGS12,TRUE,TRUE
184.0,9556,ATP5MJ,TRUE,TRUE
185.0,3791,KDR,TRUE,TRUE
186.0,255239,ANKK1,TRUE,TRUE
187.0,55177,RMDN3,TRUE,TRUE
188.0,3082,HGF,TRUE,TRUE
189.0,29127,RACGAP1,TRUE,TRUE
190.0,10228,STX6,TRUE,TRUE
191.0,57761,TRIB3,TRUE,TRUE
192.0,7371,UCK2,TRUE,TRUE
193.0,340895,MALRD1,TRUE,TRUE
194.0,5536,PPP5C,TRUE,TRUE
195.0,3945,LDHB,TRUE,TRUE
196.0,5236,PGM1,TRUE,TRUE
197.0,7006,TEC,TRUE,TRUE
198.0,57731,SPTBN4,TRUE,TRUE
199.0,5286,PIK3C2A,TRUE,TRUE
200.0,8729,GBF1,TRUE,TRUE
201.0,50649,ARHGEF4,TRUE,TRUE
202.0,9950,GOLGA5,TRUE,TRUE
203.0,23011,RAB21,TRUE,TRUE
204.0,4792,NFKBIA,TRUE,TRUE
205.0,221044,UCMA,TRUE,TRUE
206.0,7915,ALDH5A1,TRUE,TRUE
207.0,23001,WDFY3,TRUE,TRUE
208.0,116988,AGAP3,TRUE,TRUE
209.0,57410,SCYL1,TRUE,TRUE
210.0,29941,PKN3,TRUE,TRUE
211.0,1613,DAPK3,TRUE,TRUE
212.0,11187,PKP3,TRUE,TRUE
213.0,9117,SEC22C,TRUE,TRUE
214.0,84557,MAP1LC3A,TRUE,TRUE
215.0,1173,AP2M1,TRUE,TRUE
216.0,163782,KANK4,TRUE,TRUE
217.0,23604,DAPK2,TRUE,TRUE
218.0,11113,CIT,TRUE,TRUE
219.0,285193,DUSP28,TRUE,TRUE
220.0,5583,PRKCH,TRUE,TRUE
221.0,147746,HIPK4,TRUE,TRUE
222.0,10154,PLXNC1,TRUE,TRUE
223.0,23233,EXOC6B,TRUE,TRUE
224.0,23568,ARL2BP,TRUE,TRUE
225.0,1781,DYNC1I2,TRUE,TRUE
226.0,55975,KLHL7,TRUE,TRUE
227.0,10105,PPIF,TRUE,TRUE
228.0,7879,RAB7A,TRUE,TRUE
229.0,26580,BSCL2,TRUE,TRUE
230.0,10611,PDLIM5,TRUE,TRUE
231.0,91461,PKDCC,TRUE,TRUE
232.0,10006,ABI1,TRUE,TRUE
233.0,55357,TBC1D2,TRUE,TRUE
234.0,3630,INS,TRUE,TRUE
235.0,9265,CYTH3,TRUE,TRUE
236.0,51735,RAPGEF6,TRUE,TRUE
237.0,4645,MYO5B,TRUE,TRUE
238.0,57826,RAP2C,TRUE,TRUE
